0 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.00E+00 4.00E+00
416 4.57E-03 9.25E-04 8.95E-07 9.69E-02 2.65E-01 3.93E+00
832 1.25E-02 4.43E-03 4.28E-06 2.37E-01 5.27E-01 3.84E+00
1248 2.59E-02 9.86E-03 1.20E-05 3.67E-01 9.69E-01 3.72E+00
1664 4.56E-02 1.67E-02 2.67E-05 5.00E-01 1.60E+00 3.58E+00
2080 7.12E-02 2.51E-02 5.08E-05 6.79E-01 2.38E+00 3.40E+00
2496 1.02E-01 3.70E-02 8.66E-05 1.02E+00 3.28E+00 3.21E+00
2912 1.37E-01 5.78E-02 1.36E-04 1.80E+00 4.34E+00 3.00E+00
3328 1.77E-01 1.02E-01 2.01E-04 3.71E+00 5.61E+00 2.77E+00
3744 2.22E-01 2.04E-01 2.84E-04 8.26E+00 7.07E+00 2.53E+00
4160 2.69E-01 4.33E-01 3.86E-04 1.82E+01 8.71E+00 2.29E+00
4576 3.20E-01 9.16E-01 5.08E-04 3.73E+01 1.06E+01 2.06E+00
4992 3.72E-01 1.81E+00 6.52E-04 6.83E+01 1.25E+01 1.83E+00
5408 4.25E-01 3.24E+00 8.18E-04 1.09E+02 1.44E+01 1.62E+00
5824 4.74E-01 5.16E+00 1.00E-03 1.50E+02 1.60E+01 1.46E+00
6240 5.19E-01 7.31E+00 1.21E-03 1.81E+02 1.72E+01 1.33E+00
6656 5.58E-01 9.41E+00 1.43E-03 1.99E+02 1.77E+01 1.25E+00
7072 5.91E-01 1.12E+01 1.67E-03 2.05E+02 1.77E+01 1.21E+00
7488 6.20E-01 1.27E+01 1.92E-03 2.04E+02 1.72E+01 1.19E+00
7904 6.44E-01 1.38E+01 2.19E-03 2.00E+02 1.64E+01 1.20E+00
8320 6.65E-01 1.47E+01 2.46E-03 1.95E+02 1.54E+01 1.22E+00
8736 6.83E-01 1.53E+01 2.74E-03 1.90E+02 1.42E+01 1.26E+00
9152 6.98E-01 1.58E+01 3.02E-03 1.86E+02 1.30E+01 1.30E+00
9568 7.11E-01 1.62E+01 3.31E-03 1.83E+02 1.18E+01 1.35E+00
9984 7.22E-01 1.66E+01 3.61E-03 1.80E+02 1.05E+01 1.40E+00
10400 7.30E-01 1.69E+01 3.91E-03 1.77E+02 9.32E+00 1.46E+00
10816 7.36E-01 1.71E+01 4.22E-03 1.75E+02 8.13E+00 1.53E+00
11232 7.39E-01 1.74E+01 4.52E-03 1.73E+02 7.03E+00 1.61E+00
11648 7.40E-01 1.76E+01 4.83E-03 1.71E+02 6.02E+00 1.68E+00
12064 7.39E-01 1.79E+01 5.13E-03 1.69E+02 5.10E+00 1.77E+00
12480 7.36E-01 1.82E+01 5.44E-03 1.68E+02 4.25E+00 1.85E+00
12896 7.31E-01 1.85E+01 5.74E-03 1.66E+02 3.48E+00 1.94E+00
13312 7.24E-01 1.88E+01 6.04E-03 1.65E+02 2.77E+00 2.02E+00
13728 7.16E-01 1.91E+01 6.34E-03 1.65E+02 2.10E+00 2.12E+00
14144 7.05E-01 1.94E+01 6.63E-03 1.64E+02 1.48E+00 2.21E+00
14560 6.92E-01 1.98E+01 6.92E-03 1.63E+02 9.53E-01 2.31E+00
14976 6.78E-01 2.02E+01 7.20E-03 1.63E+02 5.30E-01 2.42E+00
15392 6.61E-01 2.05E+01 7.48E-03 1.62E+02 2.09E-01 2.53E+00
15808 6.43E-01 2.10E+01 7.74E-03 1.62E+02 4.16E-02 2.64E+00
16224 6.25E-01 2.14E+01 8.00E-03 1.62E+02 3.05E-03 2.75E+00
16640 6.07E-01 2.18E+01 8.26E-03 1.62E+02 8.66E-05 2.84E+00
17056 5.89E-01 2.23E+01 8.50E-03 1.62E+02 1.18E-06 2.93E+00
