0 0.00E+00 
416 3.49E-05 
832 6.96E-05 
1248 1.04E-04 
1664 1.39E-04 
2080 1.73E-04 
2496 2.06E-04 
2912 2.38E-04 
3328 2.68E-04 
3744 2.91E-04 
4160 3.02E-04 
4576 2.92E-04 
4992 2.57E-04 
5408 2.03E-04 
5824 1.46E-04 
6240 1.01E-04 
6656 7.18E-05 
7072 5.52E-05 
7488 4.61E-05 
7904 4.06E-05 
8320 3.67E-05 
8736 3.33E-05 
9152 3.03E-05 
9568 2.76E-05 
9984 2.53E-05 
10400 2.32E-05 
10816 2.15E-05 
11232 2.00E-05 
11648 1.87E-05 
12064 1.76E-05 
12480 1.66E-05 
12896 1.57E-05 
13312 1.49E-05 
13728 1.42E-05 
14144 1.35E-05 
14560 1.30E-05 
14976 1.25E-05 
15392 1.20E-05 
15808 1.16E-05 
16224 1.12E-05 
16640 1.08E-05 
17056 1.05E-05 
